org_name,org_alias_num,org_all_num,org_ratio,sta_org_alias_num,sta_org_all_num,sat_org_ratio,as,country,category,sub_category
DGN TEKNOLOJI A.S.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[43260],['TR'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Wicked Networks Limited,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[141444],['HK'],['Other'],['None']
Eskisehir Bilisim Iletisim San. ve Tic. A.S.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[196733],['TR'],['Computer and Information Technology'],['None']
MRGROUP INVESTMENTS LIMITED,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[61178],['CY'],['Service'],"['Law, Business, and Consulting Services']"
FIBERTEL PERU S.A.,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[266732],['PE'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
MOACK.Co.LTD,1,4560,0.000219,1.0,1405.7533729076385,0.000711,[135605],['KR'],['Computer and Information Technology'],['None']
Rohmad Kumiadin,125,4560,0.027412,0.601807,1405.7533729076385,0.000428,[210842],['ID'],['None'],['None']
FranTech Solutions,5,4560,0.001096,0.3125,1405.7533729076385,0.000222,[53667],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
NetAssist LLC,7,4560,0.001535,0.067627,1405.7533729076385,4.8e-05,[8772],['UA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Differ Communications Limited,1,4560,0.000219,0.0625,1405.7533729076385,4.4e-05,[399558],['CA'],['Construction and Real Estate'],['None']
Baoshuo Network,1,4560,0.000219,0.0625,1405.7533729076385,4.4e-05,[151814],['CN'],['None'],['None']
Hurricane Electric LLC,1,4560,0.000219,0.0625,1405.7533729076385,4.4e-05,[6939],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Bharti Airtel Limited,165,4560,0.036184,0.039597,1405.7533729076385,2.8e-05,[45609],['IN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Akamai International B.V.,10,4560,0.002193,0.039062,1405.7533729076385,2.8e-05,[33905],['NL'],"['Media, Publishing, and Broadcasting']",['Online Music and Video Streaming Services']
Phan Nhat Nghi,9,4560,0.001974,0.035156,1405.7533729076385,2.5e-05,[199925],['VG'],['Construction and Real Estate'],['Other']
"Amazon.com, Inc.",1225,4560,0.26864,0.020981,1405.7533729076385,1.5e-05,[16509],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
"Akamai Technologies, Inc.",1219,4560,0.267324,0.018585,1405.7533729076385,1.3e-05,"[36183, 16625]",['US'],['Computer and Information Technology'],['Computer and Network Security']
Cogent Communications,6,4560,0.001316,0.015656,1405.7533729076385,1.1e-05,[174],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
KIRILL ZINOV,4,4560,0.000877,0.015625,1405.7533729076385,1.1e-05,[199186],['RU'],['None'],['None']
"Cloudflare, Inc.",248,4560,0.054386,0.009964,1405.7533729076385,7e-06,[13335],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
BWE CAPITAL LIMITED,2,4560,0.000439,0.007812,1405.7533729076385,6e-06,[197730],['VG'],['None'],['None']
POLONETWORK LIMITED,14,4560,0.00307,0.006851,1405.7533729076385,5e-06,[151338],['HK'],['Construction and Real Estate'],['Buildings (Residential or Commercial)']
Infosimples Ltda.,13,4560,0.002851,0.006836,1405.7533729076385,5e-06,[270410],['BR'],['Education and Research'],"['Other Schools, Instruction, and Exam Preparation (Trade Schools, Art Schools, Driving Instruction, etc.)']"
Developed Methods LLC,41,4560,0.008991,0.004517,1405.7533729076385,3e-06,[400519],['US'],['Service'],['Other']
AKILE LTD,2,4560,0.000439,0.003922,1405.7533729076385,3e-06,[61112],['GB'],"['Media, Publishing, and Broadcasting']",['Online Informational Content']
Free Range Cloud Hosting Inc.,2,4560,0.000439,0.003922,1405.7533729076385,3e-06,[53356],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Tianhong Peng,2,4560,0.000439,0.003922,1405.7533729076385,3e-06,[200021],['CN'],['None'],['None']
Hytron Network Services Limited,2,4560,0.000438,0.003921,1405.7533729076385,3e-06,"[151407, 202662]",['HK'],['None'],['None']
Portland Internet Hosting LLC,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[36791],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Web Werks,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[33480],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Web42 Solutions Ltd,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[202990],['GB'],['Computer and Information Technology'],['Hosting and Cloud Provider']
Claro NXT Telecomunicacoes Ltda,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[28573],['BR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
SteveYi Experiment Network,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[141173],['TW'],['Education and Research'],['None']
Lilith Network INC.,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[202528],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
PaoPaoYu Network LTD.,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[202911],['CA'],['None'],['None']
FeiYa Network LTD.,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[199465],['US'],"['Media, Publishing, and Broadcasting']",['Online Informational Content']
Securebit AG,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[58057],['CH'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
CMC Telecom Infrastructure Company,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[38732],['VN'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"Nightfall Networks, LLC",1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[60310],['US'],['Education and Research'],['Other']
Adrian Paschkowski,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[205987],['DE'],"['Retail Stores, Wholesale, and E-commerce Sites']",['Other']
None,1,4560,0.000219,0.003906,1405.7533729076385,3e-06,[216157],['None'],['None'],['None']
Google LLC,221,4560,0.048465,0.003372,1405.7533729076385,2e-06,[36492],['US'],['Computer and Information Technology'],['Software Development']
M247 Europe SRL,35,4560,0.007675,0.002365,1405.7533729076385,2e-06,[9009],['RO'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Edgecast Inc.,89,4560,0.019517999999999997,0.001358,1405.7533729076385,1e-06,"[15133, 14153]",['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Incapsula Inc,86,4560,0.01886,0.001312,1405.7533729076385,1e-06,[19551],['US'],['Computer and Information Technology'],['Computer and Network Security']
HOSTKEY B.V.,4,4560,0.000877,0.000977,1405.7533729076385,1e-06,[50867],['NL'],['Computer and Information Technology'],['Hosting and Cloud Provider']
"Fly.io, Inc.",52,4560,0.011404,0.000793,1405.7533729076385,1e-06,[40509],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
John Mark Gabriel Caguicla,21,4560,0.004605,0.000549,1405.7533729076385,0.0,[200866],['PH'],['Computer and Information Technology'],['Software Development']
LoudTronix Inc.,2,4560,0.000439,0.000488,1405.7533729076385,0.0,[205212],['CA'],['Community Groups and Nonprofits'],['Other']
VMHaus Limited,2,4560,0.000439,0.000488,1405.7533729076385,0.0,[136620],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Black Mesa Corporation,2,4560,0.000439,0.000488,1405.7533729076385,0.0,[46997],['US'],['Health Care Services'],['Other']
MD TECHNOLOGY LIMITED,2,4560,0.000439,0.000488,1405.7533729076385,0.0,[199974],['HK'],['Computer and Information Technology'],['Software Development']
RADISHCLOUD TECHNOLOGY LLC,7,4560,0.001535,0.000336,1405.7533729076385,0.0,[201217],['US'],['None'],['None']
Hostinger International Limited,21,4560,0.004605,0.00032,1405.7533729076385,0.0,[47583],['CY'],['Computer and Information Technology'],['Software Development']
WideOpenWest Finance LLC,4,4560,0.000877,0.00029,1405.7533729076385,0.0,[16724],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Louvetel Comunicação Comercial Ltda ME,1,4560,0.000219,0.000244,1405.7533729076385,0.0,[263110],['BR'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Christopher Mountford,1,4560,0.000219,0.000244,1405.7533729076385,0.0,[206981],['GB'],['Education and Research'],['None']
Peaktera,1,4560,0.000219,0.000244,1405.7533729076385,0.0,[32931],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
HATS NETWORK INC.,1,4560,0.000219,0.000244,1405.7533729076385,0.0,[203314],['CA'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Skydance Productions LLC,1,4560,0.000219,0.000244,1405.7533729076385,0.0,[398668],['US'],"['Media, Publishing, and Broadcasting']",['None']
Nearoute Limited,1,4560,0.000219,0.000244,1405.7533729076385,0.0,[51847],['HK'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Qwilt Inc.,15,4560,0.003289,0.000229,1405.7533729076385,0.0,[20253],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
"StackPath, LLC.",13,4560,0.002851,0.000198,1405.7533729076385,0.0,[20446],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
ipcom GmbH,13,4560,0.0028510000000000002,0.000198,1405.7533729076385,0.0,"[1921, 207021]",['AT'],['Computer and Information Technology'],['None']
Kirino LLC,12,4560,0.002632,0.000183,1405.7533729076385,0.0,[41378],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Performive LLC,8,4560,0.001754,0.000122,1405.7533729076385,0.0,[46562],['US'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Datacamp Limited,8,4560,0.001754,0.000122,1405.7533729076385,0.0,[212238],['GB'],['Computer and Information Technology'],['Internet Service Provider (ISP)']
Psychz Networks,7,4560,0.001535,0.000107,1405.7533729076385,0.0,[40676],['US'],['Computer and Information Technology'],['Hosting and Cloud Provider']
xTom,6,4560,0.001316,9.2e-05,1405.7533729076385,0.0,[949],['US'],['Computer and Information Technology'],['None']
Huicast Telecom Limited,6,4560,0.001316,9.2e-05,1405.7533729076385,0.0,[60539],['HK'],['Computer and Information Technology'],['None']
"Misaka Network, Inc.",6,4560,0.001316,9.2e-05,1405.7533729076385,0.0,[50069],['US'],['Other'],['None']
LEASEWEB UK LIMITED,5,4560,0.001096,7.6e-05,1405.7533729076385,0.0,[205544],['GB'],['Computer and Information Technology'],['None']
