as,alias_prefix_num,alias_prefix_64_num,org_name,alias_prefix_ratio,alias_prefix_64_ratio
29390,1,34359738368,Netassist Limited,0.0001550387596899225,0.0019703943849354155
29632,1,34359738368,Netassist Limited,0.0001550387596899225,0.0019703943849354155
30081,1,65536,"CacheNetworks, Inc.",0.0001550387596899225,3.7582290362079915e-09
30399,1,4294967296,Host-Engine.com,0.0001550387596899225,0.00024629929811692693
30633,12,128849215488,"Leaseweb USA, Inc.",0.0018604651162790699,0.007388990218194916
30654,1,16777216,,0.0001550387596899225,9.621066332692458e-07
30811,1,65536,Optimizely AB,0.0001550387596899225,3.7582290362079915e-09
32024,2,2147483648,Blueficity,0.000310077519379845,0.00012314964905846347
32150,1,65536,DANGA INTERACTIVE,0.0001550387596899225,3.7582290362079915e-09
32931,1,1048576,Peaktera,0.0001550387596899225,6.013166457932786e-08
33480,1,16777216,Web Werks,0.0001550387596899225,9.621066332692458e-07
33760,2,131072,"Ashton Holmes, Sole Proprietorship",0.000310077519379845,7.516458072415983e-09
33905,16,135921664,Akamai International B.V.,0.00248062015503876,7.794567021095374e-06
34641,2,33554432,Luc Pascard,0.000310077519379845,1.9242132665384917e-06
34665,3,103079215104,Petersburg Internet Network ltd.,0.00046511627906976747,0.005911183154806246
34939,2,4294967296,"nextdns, Inc.",0.000310077519379845,0.00024629929811692693
36183,1219,79888384,"Akamai Technologies, Inc.",0.1889922480620155,4.581281195137541e-06
36492,237,22872064,Google LLC,0.036744186046511626,1.311621933636589e-06
36791,1,16777216,Portland Internet Hosting LLC,0.0001550387596899225,9.621066332692458e-07
36992,1,4294967296,ETISALAT MISR,0.0001550387596899225,0.00024629929811692693
37963,7,458752,"Alibaba (US) Technology Co., Ltd.",0.0010852713178294573,2.6307603253455937e-08
38008,2,131072,Aperture Science Limited,0.000310077519379845,7.516458072415983e-09
38732,4,67108864,CMC Telecom Infrastructure Company,0.00062015503875969,3.848426533076983e-06
40138,2,131072,"Mach Dilemma, LLC",0.000310077519379845,7.516458072415983e-09
40509,54,3538944,"Fly.io, Inc.",0.008372093023255815,2.0294436795523153e-07
40676,8,21475033088,Psychz Networks,0.00124031007751938,0.0012315077652717433
40680,1,65536,Protocol Labs,0.0001550387596899225,3.7582290362079915e-09
41108,1,4294967296,First Root UG (haftungsbeschraenkt),0.0001550387596899225,0.00024629929811692693
41378,19,1703936,Kirino LLC,0.002945736434108527,9.771395494140777e-08
42692,2,8589934592,Overweb Srl,0.000310077519379845,0.0004925985962338539
43317,1,4294967296,SIA VEESP,0.0001550387596899225,0.00024629929811692693
43350,1,34359738368,NForce Entertainment B.V.,0.0001550387596899225,0.0019703943849354155
43357,1,65536,Owl Limited,0.0001550387596899225,3.7582290362079915e-09
44354,2,16842752,,0.000310077519379845,9.658648623054538e-07
44477,10,42949672960,STARK INDUSTRIES SOLUTIONS LTD,0.0015503875968992248,0.0024629929811692693
44812,51,279172874240,IP SERVER LLC,0.007906976744186046,0.01600945437760025
45027,6,128849018880,"LLC ""Internet Tehnologii""",0.0009302325581395349,0.0073889789435078075
45102,1,65536,"Alibaba (US) Technology Co., Ltd.",0.0001550387596899225,3.7582290362079915e-09
45609,167,169803776,Bharti Airtel Limited,0.025891472868217056,9.737571432814905e-06
46019,1,4294967296,Universitas Brawijaya,0.0001550387596899225,0.00024629929811692693
46562,8,524288,Performive LLC,0.00124031007751938,3.006583228966393e-08
46644,1,65536,Social Blade LLC,0.0001550387596899225,3.7582290362079915e-09
46997,7,20512768,Black Mesa Corporation,0.0010852713178294573,1.1763256883331013e-06
47447,1,4294967296,23M GmbH,0.0001550387596899225,0.00024629929811692693
47583,37,2424832,Hostinger International Limited,0.005736434108527132,1.3905447433969568e-07
47720,1,65536,CORK INTERNET EXCHANGE LIMITED,0.0001550387596899225,3.7582290362079915e-09
47926,1,34359738368,DEMENIN B.V.,0.0001550387596899225,0.0019703943849354155
47951,11,137438953472,Armeva Yazilim ve Danismanlik Anonim Sirketi,0.0017054263565891472,0.007881577539741662
47952,1,65536,ICT BULUT BILISIM A.S.,0.0001550387596899225,3.7582290362079915e-09
48108,11,42949738496,Sole trader Malkov Dmitrii Vladimirovich,0.0017054263565891472,0.0024629967393983055
48254,2,131072,20i Limited,0.000310077519379845,7.516458072415983e-09
48261,4,68719476736,socialimprove LLC,0.00062015503875969,0.003940788769870831
49392,5,17179934720,LLC Baxet,0.0007751937984496124,0.0009852009506967439
49418,1,34359738368,,0.0001550387596899225,0.0019703943849354155
49453,3,196608,Global Layer B.V.,0.00046511627906976747,1.1274687108623975e-08
49505,19,154618822656,"OOO ""Network of data-centers ""Selectel""",0.002945736434108527,0.008866774732209369
49542,6,25769803776,ArtPlanet LLC,0.0009302325581395349,0.0014777957887015616
49581,5,137455730688,Ferdinand Zink trading as Tube-Hosting,0.0007751937984496124,0.00788253964637493
49981,1,4294967296,WorldStream B.V.,0.0001550387596899225,0.00024629929811692693
50069,8,524288,"Misaka Network, Inc.",0.00124031007751938,3.006583228966393e-08
50113,2,4295032832,NTX Technologies s.r.o.,0.000310077519379845,0.0002463030563459631
50224,1,65536,Material Global Limited,0.0001550387596899225,3.7582290362079915e-09
50340,8,64424509440,"OOO ""Network of data-centers ""Selectel""",0.00124031007751938,0.0036944894717539038
50867,4,4194304,HOSTKEY B.V.,0.00062015503875969,2.4052665831731146e-07
50902,2,8589934592,DNS0.EU A.D.,0.000310077519379845,0.0004925985962338539
51082,2,131072,A1 NETWORK EXCHANGE LIMITED,0.000310077519379845,7.516458072415983e-09
51088,1,4294967296,A2B IP B.V.,0.0001550387596899225,0.00024629929811692693
51259,1,4294967296,Arcus Novus UAB,0.0001550387596899225,0.00024629929811692693
51396,4,38688260096,,0.00062015503875969,0.0022186178963188806
51430,1,65536,AltusHost B.V.,0.0001550387596899225,3.7582290362079915e-09
51659,3,12884901888,LLC Baxet,0.00046511627906976747,0.0007388978943507808
51837,6,25769803776,Netex Limited,0.0009302325581395349,0.0014777957887015616
51847,4,3211264,Nearoute Limited,0.00062015503875969,1.8415322277419156e-07
52041,5,17179934720,"Scaleblade, Ltd.",0.0007751937984496124,0.0009852009506967439
52042,1,268435456,Kew Solutions Unipessoal Lda,0.0001550387596899225,1.5393706132307933e-05
53356,13,4330160128,Free Range Cloud Hosting Inc.,0.0020155038759689923,0.0002483174671093706
53667,108,99505930240,FranTech Solutions,0.01674418604651163,0.005706269474836041
54113,171,6454444032,"Fastly, Inc.",0.026511627906976743,0.00037013670308901645
55081,1,65536,24 SHELLS,0.0001550387596899225,3.7582290362079915e-09
56434,1,4294967296,Modesco LLC,0.0001550387596899225,0.00024629929811692693
56534,5,21474836480,Comfortel Ltd.,0.0007751937984496124,0.0012314964905846347
56655,3,196608,TerraHost AS,0.00046511627906976747,1.1274687108623975e-08
56694,6,17180000256,LLC Smart Ape,0.0009302325581395349,0.00098520470892578
56758,4,262144,Cr0bar Limited,0.00062015503875969,1.5032916144831966e-08
57043,3,103079215104,HOSTKEY B.V.,0.00046511627906976747,0.005911183154806246
57110,1,65536,,0.0001550387596899225,3.7582290362079915e-09
58057,1,16777216,Securebit AG,0.0001550387596899225,9.621066332692458e-07
58061,2,8589934592,Scalaxy B.V.,0.000310077519379845,0.0004925985962338539
58339,1,65536,MARIA STYLE LTD,0.0001550387596899225,3.7582290362079915e-09
58453,1,256,China Mobile International Limited,0.0001550387596899225,1.4680582172687467e-11
59504,9,56639881216,LLC Vpsville,0.0013953488372093023,0.003248071993916974
59711,1,65536,HZ Hosting Ltd,0.0001550387596899225,3.7582290362079915e-09
60389,3,12884901888,Manir LLC,0.00046511627906976747,0.0007388978943507808
60539,7,458752,Huicast Telecom Limited,0.0010852713178294573,2.6307603253455937e-08
60703,2,38654705664,MULTIDIST SARL,0.000310077519379845,0.002216693683052342
60721,1,34359738368,Bursabil Teknoloji A.S.,0.0001550387596899225,0.0019703943849354155
60781,71,2194728353792,LeaseWeb Netherlands B.V.,0.011007751937984495,0.1258589450959787
60939,2,34359738368,Fibrebay Network LLC,0.000310077519379845,0.0019703943849354155
61112,5,17039360,AKILE LTD,0.0007751937984496124,9.771395494140777e-07
61138,2,33554432,Zappie Host LLC,0.000310077519379845,1.9242132665384917e-06
61178,1,4294967296,MRGROUP INVESTMENTS LIMITED,0.0001550387596899225,0.00024629929811692693
61317,15,12944801792,Hivelocity Inc,0.002325581395348837,0.0007423329156898749
61323,2,34359803904,ANS ACADEMY LIMITED,0.000310077519379845,0.0019703981431644516
62217,10,17182359552,Vinters IT Ltd,0.0015503875968992248,0.0009853400051710835
62240,49,38658310144,Clouvider Limited,0.007596899224806201,0.0022169003856493336
62571,1,65536,IMPERVA INC,0.0001550387596899225,3.7582290362079915e-09
62874,3,393216,Web2Objects LLC,0.00046511627906976747,2.254937421724795e-08
63023,2,68719476736,GTHost,0.000310077519379845,0.003940788769870831
63150,2,6291456,,0.000310077519379845,3.607899874759672e-07
63213,1,65536,Astute Internet,0.0001550387596899225,3.7582290362079915e-09
63770,1,2147483648,Industrial Cyber Security Center of Excellence,0.0001550387596899225,0.00012314964905846347
64080,1,4294967296,SYN LTD,0.0001550387596899225,0.00024629929811692693
64236,1,34359738368,"UnReal Servers, LLC",0.0001550387596899225,0.0019703943849354155
131662,2,131072,Denpa Ltd.,0.000310077519379845,7.516458072415983e-09
131910,1,4294967296,SORACOM. INC.,0.0001550387596899225,0.00024629929811692693
133375,1,4294967296,"CHUAN KAI INTERNATIONAL CO., LTD",0.0001550387596899225,0.00024629929811692693
133499,1,34359738368,HostRoyale Technologies Pvt Ltd,0.0001550387596899225,0.0019703943849354155
133612,3,262144,Vodafone Australia Pty Ltd,0.00046511627906976747,1.5032916144831966e-08
133944,1,34359738368,"trafficforce, UAB",0.0001550387596899225,0.0019703943849354155
135489,1,65536,FENGYE NETWORKS LIMITED,0.0001550387596899225,3.7582290362079915e-09
135605,1,4294967296,MOACK.Co.LTD,0.0001550387596899225,0.00024629929811692693
136620,2,2097152,VMHaus Limited,0.000310077519379845,1.2026332915865573e-07
138190,1,65536,GLOBAL-ICT HONGKONG CO.LIMITED,0.0001550387596899225,3.7582290362079915e-09
138997,1,131072,Eons Data Communications Limited,0.0001550387596899225,7.516458072415983e-09
139073,3,3211264,Fantasy Sky Internet eXchange,0.00046511627906976747,1.8415322277419156e-07
139791,11,34527510528,,0.0017054263565891472,0.001980015451268108
140731,1,65536,TOHU Public Internet,0.0001550387596899225,3.7582290362079915e-09
140810,2,131072,Megacore Technology Company Limited,0.000310077519379845,7.516458072415983e-09
141039,1,65536,TEFINCOM S.A.,0.0001550387596899225,3.7582290362079915e-09
141173,1,16777216,SteveYi Experiment Network,0.0001550387596899225,9.621066332692458e-07
141444,1,4294967296,Wicked Networks Limited,0.0001550387596899225,0.00024629929811692693
147049,1,16777216,PacketHub S.A.,0.0001550387596899225,9.621066332692458e-07
147057,1,4294967296,DNT Solutions,0.0001550387596899225,0.00024629929811692693
150347,1,4294967296,Planisware Singapore Pte. Ltd,0.0001550387596899225,0.00024629929811692693
150445,1,4294967296,Getechbrothers,0.0001550387596899225,0.00024629929811692693
151338,9,31522816,POLONETWORK LIMITED,0.0013953488372093023,1.8077081664160438e-06
151407,1,16777216,Hytron Network Services Limited,0.0001550387596899225,9.621066332692458e-07
151464,1,65536,"Shanghai Luogu Network Technology Co., Ltd.",0.0001550387596899225,3.7582290362079915e-09
151814,3,35165044736,Baoshuo Network,0.00046511627906976747,0.002016575503332339
152598,3,196608,,0.00046511627906976747,1.1274687108623975e-08
152631,7,60129542144,,0.0010852713178294573,0.0034481901736369766
152697,1,34359738368,,0.0001550387596899225,0.0019703943849354155
196733,1,4294967296,Eskisehir Bilisim Iletisim San. ve Tic. A.S.,0.0001550387596899225,0.00024629929811692693
196968,1,4294967296,Ilm-Provider UG (haftungsbeschraenkt),0.0001550387596899225,0.00024629929811692693
197433,6,589824,XuanMing Liu,0.0009302325581395349,3.382406132587192e-08
197598,2,34359738368,Virtueon Solutions LLC,0.000310077519379845,0.0019703943849354155
197606,2,131072,Ismael Munoz Hernandez,0.000310077519379845,7.516458072415983e-09
197619,2,34359738368,Telnab Networks LLC,0.000310077519379845,0.0019703943849354155
