as,alias_prefix_num,alias_prefix_64_num,org_name,alias_prefix_ratio,alias_prefix_64_ratio
4134,22,9.5,"No.31,Jin-rong Street",4.4190815943242925e-05,7.580954045649833e-13
4185,1,65536.0,AT&T Corp.,2.0086734519655874e-06,5.229741098270605e-09
4230,2,512.0,CLARO S.A.,4.017346903931175e-06,4.08573523302391e-11
4538,24,4295229458.0,China Education and Research Network Center,4.8208162847174097e-05,0.00034275723301704675
4621,1,1.0,Office of Info.Tech. Admin. for Educational Development,2.0086734519655874e-06,7.979951626999824e-14
4637,107,512.0,Telstra International Limited,0.00021492805936031785,4.08573523302391e-11
4651,19,214.0,CAT Telecom Public Company Limited,3.816479558734616e-05,1.7077096481779623e-11
4657,20,16777700.0,Starhub Ltd.,4.017346903931175e-05,1.3388523441231494e-06
4739,15,15.0,iiNet Limited,3.0130101779483812e-05,1.1969927440499736e-12
4761,1,1099511627776.0,PT. INDOSAT Tbk,2.0086734519655874e-06,0.08774049602976317
4764,1,1.0,Wideband Networks Pty Ltd,2.0086734519655874e-06,7.979951626999824e-14
4782,6,6.0,"Data Communication Business Group,",1.2052040711793524e-05,4.787970976199894e-13
4788,78,678.0,TM TECHNOLOGY SERVICES SDN BHD,0.00015667652925331583,5.410407203105881e-11
4802,1,1.0,iiNet Limited,2.0086734519655874e-06,7.979951626999824e-14
4808,3,1.0,China Unicom,6.026020355896762e-06,7.979951626999824e-14
4811,2,2.0,China Telecom (Group),4.017346903931175e-06,1.595990325399965e-13
4812,2,2.0,China Telecom (Group),4.017346903931175e-06,1.595990325399965e-13
4835,46,210.0,China Telecom (Group),9.239897879041702e-05,1.675789841669963e-11
4837,46,280.0625,CHINA UNICOM Industrial Internet Backbone,9.239897879041702e-05,2.2348852025366384e-11
5408,1,1.0,National Infrastructures for Research and Technology S.A.,2.0086734519655874e-06,7.979951626999824e-14
5410,1480,12718959.0625,Bouygues Telecom SA,0.0029728367089090694,1.0149667806454103e-06
5432,134,463.0,Proximus NV,0.00026916224256338874,3.694717603300919e-11
5606,32,4.440892098500626e-16,GTS Telecom SRL,6.42775504628988e-05,3.5438104126760736e-29
6167,2,2097152.0,Verizon Business,4.017346903931175e-06,1.6735171514465936e-07
6233,3,4.163336342344337e-17,xTom,6.026020355896762e-06,3.322322261883819e-30
6315,126,393216.0,"XMission, L.C.",0.000253092854947664,3.1378446589623626e-08
6369,1,4294967296.0,Netrunner Inc,2.0086734519655874e-06,0.00034273631261626236
6697,39,5.412337245047638e-16,Republican Unitary Telecommunication Enterprise Beltelecom,7.833826462665792e-05,4.3190189404489644e-29
6718,2,2.7755575615628914e-17,NAV COMMUNICATIONS SRL,4.017346903931175e-06,2.214881507922546e-30
6724,1,1.0,Strato AG,2.0086734519655874e-06,7.979951626999824e-14
6762,400,1183.8671875,TELECOM ITALIA SPARKLE S.p.A.,0.0008034693807862349,9.44720288904233e-11
6805,130,1.8041124150158794e-15,Telefonica Germany GmbH & Co.OHG,0.00026112754875552637,1.439672980149655e-28
6848,4,4.0,Telenet BVBA,8.03469380786235e-06,3.19198065079993e-13
6939,1043,578241118.0,Hurricane Electric LLC,0.0020950464104001077,4.614336150382297e-05
7018,14,51539607554.0,"AT&T Services, Inc.",2.8121428327518223e-05,0.004112835751554748
