org_name,as_x,alias_prefix_num,alias_prefix_64_num,as_y,alias_prefix_ratio,alias_prefix_64_ratio
HostRoyale Technologies Pvt Ltd,1173449.0,6,85899345920,"[133499, 207990]",0.0009650957053241113,0.005442296496239518
Hostinger International Limited,1760571.0,37,2424832,[47583],0.0059514235161653535,1.5362928036564802e-07
Huicast Telecom Limited,423773.0,7,458752,[60539],0.0011259449895447966,2.9064998988095573e-08
Hurricane Electric LLC,6939.0,1,268435456,[6939],0.00016084928422068523,1.7007176550748496e-05
Hydra Communications Ltd,25369.0,1,4294967296,[25369],0.00016084928422068523,0.00027211482481197594
Hytron Network Services Limited,556731.0,3,16908288,"[202662, 151407]",0.00048254785266205565,1.071252819846951e-06
I-SERVERS LTD,1467487.0,7,150323855360,[209641],0.0011259449895447966,0.009524018868419156
IBM,23145.0,1,65536,[23145],0.00016084928422068523,4.152142712585082e-09
ICT BULUT BILISIM A.S.,47952.0,1,65536,[47952],0.00016084928422068523,4.152142712585082e-09
IMPERVA INC,62571.0,1,65536,[62571],0.00016084928422068523,4.152142712585082e-09
INTERKVM HOST SRL,176386.0,7,137438953472,[25198],0.0011259449895447966,0.00870767439398323
IP SERVER LLC,2285412.0,51,279172874240,[44812],0.008203313495254947,0.017687463612778436
IP Telecom Service LLC,205266.0,1,34359738368,[205266],0.00016084928422068523,0.0021769185984958075
IPXO LIMITED,206150.0,1,4294967296,[206150],0.00016084928422068523,0.00027211482481197594
Ilm-Provider UG (haftungsbeschraenkt),196968.0,1,4294967296,[196968],0.00016084928422068523,0.00027211482481197594
Incapsula Inc,6099912.0,312,20447232,[19551],0.05018497667685379,1.2954685263265455e-06
Industrial Cyber Security Center of Excellence,63770.0,1,2147483648,[63770],0.00016084928422068523,0.00013605741240598797
Ismael Munoz Hernandez,395212.0,2,131072,[197606],0.00032169856844137045,8.304285425170164e-09
JIANYU SHAO,216342.0,1,65536,[216342],0.00016084928422068523,4.152142712585082e-09
JSC IOT,262638.0,9,60129607680,[29182],0.001447643557986167,0.0038096116995103755
Jikai Ren,413686.0,2,131072,[206843],0.00032169856844137045,8.304285425170164e-09
John Mark Gabriel Caguicla,2410392.0,12,786432,[200866],0.0019301914106482226,4.982571255102098e-08
KIRILL ZINOV,1991860.0,10,134217728,[199186],0.0016084928422068522,8.503588275374248e-06
Kevin Holly trading as Silent Ghost e.U.,204136.0,1,16777216,[204136],0.00016084928422068523,1.062948534421781e-06
Kew Solutions Unipessoal Lda,262010.0,2,4563402752,"[209968, 52042]",0.00032169856844137045,0.00028912200136272444
Kirino LLC,786182.0,19,1703936,[41378],0.003056136400193019,1.0795571052721212e-07
Klett IT GmbH,200393.0,1,65536,[200393],0.00016084928422068523,4.152142712585082e-09
Kontel LLC,1431430.0,7,60129542144,[204490],0.0011259449895447966,0.003809607547367663
